name,filling,center,sigma_c,skewness,kurtosis,local_Pauling,IonizationPotential,ElectronAffinity,Pauling,WorkFunction,dBandCenter,AtomicRadius,OrbitalRadius
Co3Sc-Co,0.17663841,1.566232581,1.873729365,-1.303725667,4.471120688,1.820102957,6.56,0.19,1.36,3.84,1.5,1.81,1.24
Co3Ti-Co,0.256708569,0.822591899,1.975539034,-0.830084745,3.39237092,1.842867608,6.83,0.08,1.54,4.63,1.5,1.61,1.08
Co3V-Co,0.38493632,0.078553066,2.114635751,-0.471971826,2.673463202,1.853364434,6.75,0.53,1.63,4.88,1.06,1.49,0.98
Co3Mn-Co,0.569236493,-0.687029584,1.786866603,-0.080035766,3.233888763,1.852292993,7.43,0,1.55,5.45,0.07,1.43,0.86
Co3Fe-Co,0.679606439,-1.099962891,1.998453413,0.214882486,2.409766788,1.874939132,7.9,0.15,1.83,5.54,-0.92,1.41,0.8
Co3Co-Co,0.773852001,-1.191808411,1.525578912,0.196888822,3.986478676,1.88,7.88,0.66,1.88,5.76,-1.17,1.39,0.76
Co3Ni-Co,0.875691478,-1.622476133,1.474588804,0.516549816,4.624330098,1.882290868,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
Co3Cu-Co,0.96637096,-2.678780972,1.203971565,1.262763619,7.464465219,1.88199049,7.73,1.24,1.9,5.3,-2.67,1.41,0.67
Co3Y-Co,0.19455298,1.68377171,2.118024092,-1.060261578,3.637076762,1.767378473,6.22,0.31,1.22,3.42,1.95,1.99,1.58
Co3Nb-Co,0.413243457,-0.102694094,2.473710272,-0.3998672,2.140458416,1.849924749,6.76,0.9,1.6,4.69,1.41,1.62,1.28
Co3Mo-Co,0.516507028,-0.752728384,2.454017699,-0.131067186,2.075000228,1.906283283,7.09,0.75,2.16,5.09,0.35,1.55,1.2
Co3Ru-Co,0.737114944,-1.465514846,2.186985868,0.21744503,2.532033573,1.90978436,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
Co3Rh-Co,0.817973082,-1.960056103,2.082712871,0.492816991,2.941134899,1.91661794,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
Co3Pd-Co,0.920920443,-2.751473168,1.78105502,0.915746681,4.027979907,1.90978436,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Co3Ag-Co,0.978263165,-3.945473729,1.277272253,2.441974418,11.15658321,1.884941148,7.58,1.3,1.93,5.01,-4.3,1.59,0.89
Co3La-Co,0.228667337,1.4414137,2.16685715,-0.818047727,3.082591746,1.741428641,5.77,0.5,1.1,3.3,2,1.92,1.58
Co3Ta-Co,0.387353155,0.115597087,2.630645272,-0.457271952,2.065844218,1.838024052,7.89,0.32,1.5,4.86,2,1.62,1.34
Co3W-Co,0.485281825,-0.611765946,2.665803584,-0.163950875,1.934094332,1.923239033,7.98,0.86,2.36,5.09,0.77,1.56,1.27
Co3Re-Co,0.600112664,-1.339991287,2.639071925,0.119649572,2.006418368,1.881530959,7.88,0.15,1.9,5.88,-0.51,1.52,1.2
Co3Os-Co,0.704571164,-1.770469382,2.511226767,0.300860663,2.248132853,1.902869434,8.7,1.1,2.2,6.25,-1.5,1.49,1.13
Co3Ir-Co,0.800295401,-2.182002955,2.36102374,0.503287226,2.607116015,1.90978436,9.1,1.57,2.2,6.63,-2.11,1.5,1.08
Co3Pt-Co,0.887719021,-2.915096039,2.154950501,0.853142903,3.354489502,1.91661794,9,2.13,2.28,6.74,-2.25,1.53,1.04
Co3Au-Co,0.960648537,-3.855051592,1.667717066,1.627611648,6.154760028,1.937427394,9.23,2.31,2.54,6.01,-3.56,1.59,1.01
Ni3Sc-Ni,0.175869517,1.459547439,1.935925054,-1.277867963,4.325161361,1.846221998,6.56,0.19,1.36,3.84,1.5,1.81,1.24
Ni3Ti-Ni,0.247196849,0.62655758,1.965152602,-0.734957955,3.466244017,1.869313329,6.83,0.08,1.54,4.63,1.5,1.61,1.08
Ni3Cr-Ni,0.484515806,0.153974802,2.201633685,-0.212407177,2.286357805,1.883392512,6.77,0.67,1.66,5.27,0.16,1.42,0.9
Ni3Mn-Ni,0.555077874,-0.451037612,2.358166611,0.08046445,1.842998584,1.870523636,7.43,0,1.55,5.45,0.07,1.43,0.86
Ni3Fe-Ni,0.667126493,-1.420871407,2.011846545,0.271319582,2.314717814,1.901845089,7.9,0.15,1.83,5.54,-0.92,1.41,0.8
Ni3Co-Ni,0.763754144,-1.455056479,1.679369724,0.341490428,3.235725237,1.906978582,7.88,0.66,1.88,5.76,-1.17,1.39,0.76
Ni3Ni-Ni,0.868536768,-1.411365263,1.373783112,0.459400788,4.938422317,1.91,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
Ni3Cu-Ni,0.96908491,-2.324534895,1.128675165,1.166272096,7.748161894,1.908997636,7.73,1.24,1.9,5.3,-2.67,1.41,0.67
Ni3Y-Ni,0.193604249,1.62177368,2.204731927,-1.059888327,3.480795987,1.826274325,6.22,0.31,1.22,3.42,1.95,1.99,1.58
Ni3Zr-Ni,0.296436393,0.585412499,2.377905052,-0.689602632,2.563908805,1.84210845,6.63,0.43,1.33,4.35,1.95,1.77,1.41
Ni3Nb-Ni,0.410831629,-0.269084908,2.455837841,-0.352688835,2.192662135,1.876471742,6.76,0.9,1.6,4.69,1.41,1.62,1.28
Ni3Mo-Ni,0.518307916,-0.865009009,2.39859559,-0.069585002,2.202312283,1.933639039,7.09,0.75,2.16,5.09,0.35,1.55,1.2
Ni3Ru-Ni,0.728657099,-1.488464543,2.097494394,0.262125544,2.668889472,1.937190357,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
Ni3Rh-Ni,0.817248838,-1.867070063,1.977412063,0.518958678,3.131898898,1.944122002,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
Ni3Pd-Ni,0.920616801,-2.539160338,1.726418505,0.895296678,4.112033635,1.937190357,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Ni3Ag-Ni,0.975177212,-3.911702956,1.34024651,2.311669541,10.19043873,1.911990638,7.58,1.3,1.93,5.01,-4.3,1.59,0.89
Ni3La-Ni,0.225099773,1.341937966,2.249936057,-0.794222209,2.883818248,1.765220588,5.77,0.5,1.1,3.3,2,1.92,1.58
Ni3Ta-Ni,0.38621344,-0.101332932,2.619909967,-0.394375569,2.100009052,1.864400267,7.89,0.32,1.5,4.86,2,1.62,1.34
